[28/Sep/2025:12:30:18 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/movie/441829" [Client 172.17.0.1] [Length 23086] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:18 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/discover/genreslider/movie" [Client 172.17.0.1] [Length 13903] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:18 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/discover/genreslider/tv" [Client 172.17.0.1] [Length 11369] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:18 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/discover/movies?page=2" [Client 172.17.0.1] [Length 14287] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:18 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/discover/movies?page=2&primaryReleaseDateGte=2025-09-28" [Client 172.17.0.1] [Length 13129] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:18 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/discover/tv?page=2&firstAirDateGte=2025-09-28" [Client 172.17.0.1] [Length 12589] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:18 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/discover/tv?page=2" [Client 172.17.0.1] [Length 13002] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:18 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/avatarproxy/9252f45dace245fb841e29360a8a447d?v=null" [Client 172.17.0.1] [Length 2549] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:20 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/status" [Client 172.17.0.1] [Length 108] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:20 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/auth/me" [Client 172.17.0.1] [Length 590] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:20 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/settings/discover" [Client 172.17.0.1] [Length 1965] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:20 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/settings/public" [Client 172.17.0.1] [Length 658] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
