[28/Sep/2025:08:19:54 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/resources/" [Client 172.17.0.1] [Length 933] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files"
[28/Sep/2025:08:19:57 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/usage/shrishesha4_google_drive_1759047514/" [Client 172.17.0.1] [Length 41] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/shrishesha4_google_drive_1759047514/"
[28/Sep/2025:08:19:57 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/resources/shrishesha4_google_drive_1759047514/" [Client 172.17.0.1] [Length 295] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/shrishesha4_google_drive_1759047514/"
[28/Sep/2025:08:20:01 +0000] - 201 201 - POST http cloud.s4home.dpdns.org "/api/tus/shrishesha4_google_drive_1759047514/home_assistant_backup_emergency_kit_8_31_2025_5_34%20PM.txt?override=false" [Client 172.17.0.1] [Length 12] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/shrishesha4_google_drive_1759047514/"
[28/Sep/2025:08:20:01 +0000] - 204 204 - PATCH http cloud.s4home.dpdns.org "/api/tus/shrishesha4_google_drive_1759047514/home_assistant_backup_emergency_kit_8_31_2025_5_34%20PM.txt" [Client 172.17.0.1] [Length 0] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/shrishesha4_google_drive_1759047514/"
[28/Sep/2025:08:20:01 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/resources/shrishesha4_google_drive_1759047514/" [Client 172.17.0.1] [Length 598] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/shrishesha4_google_drive_1759047514/"
[28/Sep/2025:08:20:04 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/raw/shrishesha4_google_drive_1759047514/home_assistant_backup_emergency_kit_8_31_2025_5_34%20PM.txt?" [Client 172.17.0.1] [Length 380] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/shrishesha4_google_drive_1759047514/"
[28/Sep/2025:08:20:53 +0000] - 204 204 - DELETE http cloud.s4home.dpdns.org "/api/resources/shrishesha4_google_drive_1759047514/home_assistant_backup_emergency_kit_8_31_2025_5_34%20PM.txt" [Client 172.17.0.1] [Length 0] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/shrishesha4_google_drive_1759047514/"
[28/Sep/2025:08:20:53 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/resources/shrishesha4_google_drive_1759047514/" [Client 172.17.0.1] [Length 295] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/shrishesha4_google_drive_1759047514/"
[28/Sep/2025:08:20:55 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/usage/" [Client 172.17.0.1] [Length 41] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files"
[28/Sep/2025:08:20:55 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/resources/" [Client 172.17.0.1] [Length 933] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files"
[28/Sep/2025:08:21:09 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/usage/home/" [Client 172.17.0.1] [Length 41] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/home/"
